pop,species,size.all
pop2,floridana,1.349
pop2,floridana,1.19
pop2,floridana,1.285
pop2,floridana,1.444
pop2,floridana,1.254
pop2,floridana,1.317
pop2,floridana,1.159
pop2,floridana,1.159
pop2,floridana,1.492
pop2,floridana,1.412
pop3,inflata,1
pop3,inflata,1.079
pop3,inflata,1.111
pop3,inflata,1.032
pop3,inflata,1.127
pop3,inflata,0.968
pop3,inflata,0.968
pop3,inflata,1.095
